2017-03-02 14:02:57,578 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.wso2.org/nexus/content/groups/wso2-public/org/apache/geronimo/specs/geronimo-jms_1.1_spec/1.1.1/geronimo-jms_1.1_spec-1.1.1.pom
2017-03-02 14:02:57,600 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.wso2.org/nexus/content/groups/wso2-public/org/fusesource/hawtbuf/hawtbuf/1.10/hawtbuf-1.10.pom
2017-03-02 14:02:57,636 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.wso2.org/nexus/content/groups/wso2-public/org/fusesource/hawtbuf/hawtbuf/1.10/hawtbuf-1.10.pom
2017-03-02 14:02:57,648 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.wso2.org/nexus/content/groups/wso2-public/org/fusesource/hawtbuf/hawtbuf-project/1.10/hawtbuf-project-1.10.pom
2017-03-02 14:02:57,670 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.wso2.org/nexus/content/groups/wso2-public/org/fusesource/hawtbuf/hawtbuf-project/1.10/hawtbuf-project-1.10.pom
2017-03-02 14:02:57,692 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.wso2.org/nexus/content/groups/wso2-public/org/fusesource/fusesource-pom/1.10/fusesource-pom-1.10.pom
2017-03-02 14:02:57,719 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.wso2.org/nexus/content/groups/wso2-public/org/fusesource/fusesource-pom/1.10/fusesource-pom-1.10.pom
2017-03-02 14:02:57,727 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.wso2.org/nexus/content/groups/wso2-public/org/apache/geronimo/specs/geronimo-j2ee-management_1.1_spec/1.0.1/geronimo-j2ee-management_1.1_spec-1.0.1.pom
2017-03-02 14:02:57,760 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.wso2.org/nexus/content/groups/wso2-public/org/apache/geronimo/specs/geronimo-j2ee-management_1.1_spec/1.0.1/geronimo-j2ee-management_1.1_spec-1.0.1.pom
2017-03-02 14:02:58,616 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.wso2.org/nexus/content/groups/wso2-public/org/apache/activemq/activemq-client/5.10.0/activemq-client-5.10.0.jar
2017-03-02 14:03:06,112 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.wso2.org/nexus/content/groups/wso2-public/org/apache/activemq/activemq-client/5.10.0/activemq-client-5.10.0.jar
2017-03-02 14:03:06,785 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.wso2.org/nexus/content/groups/wso2-public/org/fusesource/hawtbuf/hawtbuf/1.10/hawtbuf-1.10.jar
2017-03-02 14:03:06,836 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.wso2.org/nexus/content/groups/wso2-public/org/fusesource/hawtbuf/hawtbuf/1.10/hawtbuf-1.10.jar
2017-03-02 14:03:07,253 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.wso2.org/nexus/content/groups/wso2-public/org/apache/geronimo/specs/geronimo-j2ee-management_1.1_spec/1.0.1/geronimo-j2ee-management_1.1_spec-1.0.1.jar
2017-03-02 14:03:07,303 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.wso2.org/nexus/content/groups/wso2-public/org/apache/geronimo/specs/geronimo-j2ee-management_1.1_spec/1.0.1/geronimo-j2ee-management_1.1_spec-1.0.1.jar
2017-03-02 14:03:07,758 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.wso2.org/nexus/content/groups/wso2-public/org/apache/axis2/axis2-codegen/1.6.1/axis2-codegen-1.6.1.jar
2017-03-02 14:03:09,762 [Worker-7] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.wso2.org/nexus/content/groups/wso2-public/org/apache/axis2/axis2-codegen/1.6.1/axis2-codegen-1.6.1.jar
2017-03-02 14:03:09,977 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - No changes detected in schema or binding files - skipping source generation.
2017-03-02 14:03:09,980 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-02 14:03:09,982 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-02 14:03:09,984 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-02 14:03:09,984 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-02 14:03:13,173 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-03-02 14:03:13,336 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using DEFAULT lifecycle mapping for MavenProject: org.codigolibre.auditbpmn:audit-mediator:1.2.2 @ /home/mantos/trabajo/sae/auditmediatorGit/BPMN-audit-mediator-for-WSO2-ESB/AuditMediator/pom.xml.
2017-03-02 14:03:13,859 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - No changes detected in schema or binding files - skipping source generation.
2017-03-02 14:03:13,863 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /AuditMediator/src/main/java
2017-03-02 14:03:13,863 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /AuditMediator/src/main/resources overlaps with sources folder /AuditMediator/src/main/resources
2017-03-02 14:03:13,864 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /AuditMediator/src/main/test/java
2017-03-02 14:03:13,864 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /AuditMediator/src/main/test/resources overlaps with sources folder /AuditMediator/src/main/test/resources
2017-03-02 14:03:14,034 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-03-02 14:03:14,666 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - No changes detected in schema or binding files - skipping source generation.
2017-03-02 14:03:14,668 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-02 14:03:14,669 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
